file,line,type,commit,author,date,time,timezone,datetime,depth,length
static/style.css,44,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,20
static/style.css,45,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,22
static/style.css,46,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,50
static/style.css,47,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,16
static/style.css,48,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,43
static/style.css,49,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,0
static/style.css,50,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,0
static/style.css,51,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,17
static/style.css,52,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,13
static/style.css,53,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,22
static/style.css,54,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,0
static/style.css,55,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,0
static/style.css,56,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,17
static/style.css,57,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,13
static/style.css,58,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,48
static/style.css,59,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,16
static/style.css,60,css,76df51f3,Anusri Saraf,2026-03-09,16:16:17,-04:00,2026-03-09T16:16:17-04:00,0,16
